"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.186923000E-3,1.580173075E-1,3.986345768E0,8.839392662E0,9.697978381E0
8.264846000E-3,1.580173075E-1,3.995922565E0,8.851364136E0,9.712827275E0
9.290961000E-3,1.675941199E-1,4.000710964E0,8.860940933E0,9.723685013E0
1.226242300E-2,1.819593310E-1,4.005499363E0,8.875306129E0,9.739003709E0
1.340219200E-2,1.915361285E-1,4.003105164E0,8.892065048E0,9.753479270E0
1.690911700E-2,2.106897533E-1,3.993528366E0,8.901641846E0,9.758682623E0
1.807261500E-2,2.250549644E-1,3.986345768E0,8.913613319E0,9.766990567E0
2.041480700E-2,2.394201756E-1,3.991134167E0,8.906430244E0,9.762733923E0
2.156823000E-2,2.394201756E-1,3.986345768E0,8.913613319E0,9.767332134E0
2.461892300E-2,2.609679997E-1,3.979163170E0,8.927978516E0,9.778069554E0
2.567050000E-2,2.801215947E-1,3.983951569E0,8.937555313E0,9.789291761E0
2.855600000E-2,2.896983922E-1,3.986345768E0,8.944737434E0,9.797101893E0
2.974953800E-2,2.992752194E-1,3.986345768E0,8.961497307E0,9.812693423E0
3.272823000E-2,3.112462163E-1,3.979163170E0,8.973467827E0,9.821086426E0
3.382092300E-2,3.208230138E-1,3.993528366E0,8.975862503E0,9.829410150E0
3.676176900E-2,3.303998411E-1,3.993528366E0,8.995016098E0,9.847220292E0
3.826103800E-2,3.687070608E-1,3.983951569E0,9.023746490E0,9.870958197E0
4.052876900E-2,3.687070608E-1,3.983951569E0,9.038111687E0,9.884092162E0
4.191480700E-2,3.758896589E-1,3.981557369E0,9.028534889E0,9.874640974E0
4.482019200E-2,3.806780577E-1,3.967192173E0,9.042900085E0,9.882184550E0
4.604784600E-2,3.926490843E-1,3.967192173E0,9.066842079E0,9.904565227E0
4.886134600E-2,3.902548850E-1,3.964797974E0,9.088389397E0,9.923242599E0
5.011430700E-2,3.998316824E-1,3.962403774E0,9.093177795E0,9.927053514E0
5.323084600E-2,3.830722570E-1,3.979163170E0,9.100360870E0,9.939670611E0
5.419961500E-2,3.950432837E-1,3.976768970E0,9.129091263E0,9.965493361E0
5.715942300E-2,3.806780577E-1,3.967192173E0,9.136273384E0,9.967698875E0
5.856523000E-2,3.806780577E-1,3.964797974E0,9.155426979E0,9.984306782E0
6.116688400E-2,3.567360640E-1,3.964797974E0,9.172186852E0,9.998794689E0
6.231250000E-2,3.495534360E-1,3.971980572E0,9.193734169E0,1.002115588E1
6.534353800E-2,3.447650373E-1,3.983951569E0,9.203310966E0,1.003452369E1
6.641430700E-2,3.447650373E-1,3.957615376E0,9.215282440E0,1.003508908E1
6.934407600E-2,3.303998411E-1,3.971980572E0,9.217676163E0,1.004247716E1
7.048292300E-2,3.232172430E-1,3.976768970E0,9.203310966E0,1.003095676E1
7.350250000E-2,3.016694188E-1,3.979163170E0,9.186552048E0,1.001586155E1
7.457996100E-2,3.040636182E-1,3.971980572E0,9.169792175E0,9.997708382E0
7.753276900E-2,2.849099934E-1,3.983951569E0,9.126696587E0,9.962411073E0
7.898576900E-2,2.777273953E-1,3.991134167E0,9.102754593E0,9.943159740E0
8.137557600E-2,2.418143749E-1,3.998316765E0,9.062053680E0,9.907866978E0
8.267530700E-2,2.154781520E-1,4.007893562E0,9.009381294E0,9.862991075E0
8.536907600E-2,2.059013397E-1,4.000710964E0,8.992621422E0,9.844558071E0
8.677430700E-2,2.011129409E-1,3.998316765E0,8.963891029E0,9.817246343E0
8.971223000E-2,1.747767180E-1,3.979163170E0,8.925583839E0,9.773962007E0
9.089580700E-2,1.819593310E-1,3.995922565E0,8.894459724E0,9.752534037E0
9.386184600E-2,1.843535304E-1,3.998316765E0,8.882488251E0,9.742644441E0
9.499011500E-2,1.580173075E-1,3.986345768E0,8.848969460E0,9.706708121E0
9.792469200E-2,1.580173075E-1,3.981557369E0,8.827422142E0,9.685099392E0
9.936723000E-2,1.723825186E-1,3.976768970E0,8.801085472E0,9.659374341E0
1.019448460E-1,1.675941199E-1,3.988739967E0,8.796297073E0,9.659864208E0
1.030820380E-1,1.699883193E-1,3.991134167E0,8.789113998E0,9.654355123E0
1.061008070E-1,1.843535304E-1,3.971980572E0,8.762778282E0,9.622728257E0
1.071690380E-1,1.963245422E-1,3.971980572E0,8.750806808E0,9.612064960E0
1.101229610E-1,2.011129409E-1,3.950432777E0,8.736441612E0,9.590191739E0
1.112887300E-1,2.202665508E-1,3.945644379E0,8.726864815E0,9.579916305E0
1.142701920E-1,2.298433632E-1,3.943250179E0,8.726864815E0,9.579155466E0
1.153604990E-1,2.322375625E-1,3.928884983E0,8.717288017E0,9.564579545E0
1.182957300E-1,2.513911724E-1,3.919308186E0,8.724471092E0,9.567683628E0
1.197866150E-1,2.513911724E-1,3.931279182E0,8.750806808E0,9.596602176E0
1.220662690E-1,2.561795712E-1,3.936067581E0,8.748413086E0,9.596509131E0
1.234630760E-1,2.633621991E-1,3.940855980E0,8.760383606E0,9.609579930E0
1.264684990E-1,2.729389966E-1,3.931279182E0,8.765172005E0,9.610290941E0
1.275922300E-1,2.825157940E-1,3.931279182E0,8.772355080E0,9.617119362E0
1.304448460E-1,3.040636182E-1,3.928884983E0,8.813055992E0,9.653939497E0
1.316885380E-1,3.112462163E-1,3.928884983E0,8.848969460E0,9.686964019E0
1.346416150E-1,2.944868207E-1,3.938461781E0,8.853757858E0,9.694701228E0
1.357488460E-1,3.088520169E-1,3.936067581E0,8.868123055E0,9.707297465E0
1.386952690E-1,3.208230138E-1,3.924096584E0,8.901641846E0,9.733482879E0
1.401154610E-1,3.399766386E-1,3.924096584E0,8.923190117E0,9.753842319E0
1.427321150E-1,3.495534360E-1,3.924096584E0,8.944737434E0,9.773896325E0
1.438540760E-1,3.495534360E-1,3.926490784E0,8.963891029E0,9.792387853E0
1.468678460E-1,3.423708379E-1,3.931279182E0,8.983044624E0,9.811588277E0
1.479350760E-1,3.734954596E-1,3.940855980E0,8.995016098E0,9.827520507E0
1.508769990E-1,3.758896589E-1,3.950432777E0,9.009381294E0,9.844600727E0
1.520464990E-1,3.591302633E-1,3.950432777E0,9.035717010E0,9.868083683E0
1.550888460E-1,3.567360640E-1,3.957615376E0,9.042900085E0,9.877450179E0
1.561286150E-1,3.375824392E-1,3.950432777E0,9.045293808E0,9.876093413E0
1.590727690E-1,3.232172430E-1,3.967192173E0,9.052476883E0,9.888903925E0
1.605363840E-1,3.303998411E-1,3.967192173E0,9.064447403E0,9.900100227E0
1.629323840E-1,3.399766386E-1,3.948038578E0,9.066842079E0,9.894959223E0
1.642435380E-1,3.423708379E-1,3.943250179E0,9.062053680E0,9.888743938E0
1.669358460E-1,3.351882398E-1,3.945644379E0,9.062053680E0,9.889452848E0
1.683758840E-1,3.280056417E-1,3.945644379E0,9.054870605E0,9.882630163E0
1.712748460E-1,3.088520169E-1,3.955221176E0,9.069235802E0,9.899000058E0
1.724260380E-1,3.160346150E-1,3.964797974E0,9.081207275E0,9.914021708E0
1.754165760E-1,3.184288144E-1,3.986345768E0,9.059659004E0,9.903018265E0
1.765496920E-1,3.327940404E-1,3.988739967E0,9.054870605E0,9.900074751E0
1.795107690E-1,3.399766386E-1,3.991134167E0,9.057265282E0,9.903473655E0
1.809341530E-1,3.591302633E-1,3.986345768E0,9.033323288E0,9.880326753E0
1.834864990E-1,3.758896589E-1,3.986345768E0,9.035717010E0,9.883138546E0
1.846309610E-1,3.806780577E-1,3.991134167E0,9.038111687E0,9.887443076E0
1.877167300E-1,3.854664862E-1,4.005499363E0,9.033323288E0,9.889061593E0
1.887313070E-1,3.902548850E-1,4.012681961E0,9.023746490E0,9.883416217E0
1.916473840E-1,3.615244627E-1,4.012681961E0,9.018958092E0,9.877951281E0
1.928119610E-1,3.591302633E-1,4.015076160E0,9.006986618E0,9.867908545E0
1.958518840E-1,3.950432837E-1,4.036623955E0,9.004592896E0,9.875884029E0
1.968977690E-1,3.734954596E-1,4.039018154E0,8.992621422E0,9.865110569E0
1.998422690E-1,3.687070608E-1,4.048594952E0,8.966285706E0,9.844863906E0
2.013384230E-1,3.663128614E-1,4.060565948E0,8.961497307E0,9.845344835E0
2.036051150E-1,3.854664862E-1,4.065354347E0,8.956708908E0,9.843694674E0
2.049978070E-1,3.758896589E-1,4.094084740E0,8.930372238E0,9.831295500E0
2.079932300E-1,3.687070608E-1,4.098873138E0,8.923190117E0,9.826496210E0
2.091162690E-1,3.806780577E-1,4.096478939E0,8.899248123E0,9.804217084E0
2.119688070E-1,3.806780577E-1,4.122815132E0,8.884882927E0,9.802227554E0
2.132025760E-1,3.543418646E-1,4.129997730E0,8.887276649E0,9.806432871E0
2.162523070E-1,3.423708379E-1,4.129997730E0,8.887276649E0,9.806007612E0
2.174223070E-1,3.543418646E-1,4.118026733E0,8.882488251E0,9.797055673E0
2.202315380E-1,3.256114423E-1,4.115632534E0,8.870517731E0,9.784198423E0
2.216622690E-1,3.280056417E-1,4.115632534E0,8.860940933E0,9.775596814E0
2.242803460E-1,3.303998411E-1,4.134786129E0,8.858546257E0,9.781587917E0
2.254083070E-1,3.423708379E-1,4.141968727E0,8.860940933E0,9.787205778E0
2.284354990E-1,3.280056417E-1,4.129997730E0,8.860940933E0,9.781653397E0
2.294766920E-1,3.280056417E-1,4.129997730E0,8.853757858E0,9.775146913E0
2.324133070E-1,3.208230138E-1,4.125209332E0,8.858546257E0,9.777224618E0
2.335766530E-1,3.184288144E-1,4.127603531E0,8.853757858E0,9.773818907E0
2.365942690E-1,3.184288144E-1,4.132391930E0,8.853757858E0,9.775842070E0
2.377008460E-1,3.208230138E-1,4.127603531E0,8.865729332E0,9.784742966E0
2.406714220E-1,3.064578176E-1,4.113238335E0,8.863334656E0,9.776059902E0
2.420967300E-1,2.968810201E-1,4.101267338E0,8.860940933E0,9.768562143E0
2.444884990E-1,2.992752194E-1,4.103661537E0,8.868123055E0,9.776155184E0
2.458701150E-1,2.992752194E-1,4.106055737E0,8.863334656E0,9.772817434E0
2.485021920E-1,2.944868207E-1,4.096478939E0,8.875306129E0,9.779515380E0
2.498951150E-1,2.944868207E-1,4.094084740E0,8.887276649E0,9.789378866E0
2.529040380E-1,2.801215947E-1,4.094084740E0,8.904036522E0,9.804175863E0
2.539895760E-1,2.729389966E-1,4.077325344E0,8.904036522E0,9.796986478E0
2.569699990E-1,2.561795712E-1,4.058171749E0,8.911218643E0,9.795111210E0
2.580877690E-1,2.561795712E-1,4.065354347E0,8.923190117E0,9.808978326E0
2.615919620E-1,2.466027737E-1,4.065354347E0,8.927978516E0,9.813089181E0
2.627259220E-1,2.466027737E-1,4.048594952E0,8.937555313E0,9.814877940E0
2.651003840E-1,2.418143749E-1,4.036623955E0,8.937555313E0,9.809826814E0
2.662141530E-1,2.370259613E-1,4.050989151E0,8.935160637E0,9.813449445E0
2.692612300E-1,2.226607651E-1,4.050989151E0,8.935160637E0,9.813112988E0
2.703087300E-1,1.987187415E-1,4.050989151E0,8.956708908E0,9.832224403E0
2.732598840E-1,2.082955539E-1,4.041412354E0,8.954314232E0,9.826298602E0
2.744109990E-1,2.011129409E-1,4.031835556E0,8.954314232E0,9.822213993E0
2.774308840E-1,2.178723514E-1,4.024652958E0,8.968679428E0,9.832726503E0
2.785000760E-1,2.202665508E-1,4.022258759E0,8.987833023E0,9.849275371E0
2.814354220E-1,2.035071403E-1,4.024652958E0,8.997409821E0,9.858632261E0
2.829055380E-1,2.035071403E-1,4.019864559E0,9.002198219E0,9.861049590E0
2.852422300E-1,1.915361285E-1,4.029441357E0,9.009381294E0,9.871273223E0
2.866319610E-1,1.939303428E-1,4.027047157E0,9.014169693E0,9.874713821E0
2.895759220E-1,1.939303428E-1,4.029441357E0,9.035717010E0,9.895361970E0
2.908093070E-1,2.011129409E-1,4.005499363E0,9.033323288E0,9.883592524E0
2.935588070E-1,2.059013397E-1,3.998316765E0,9.030928612E0,9.878593215E0
2.948068070E-1,1.891419291E-1,4.000710964E0,9.033323288E0,9.881416524E0
2.978437690E-1,1.987187415E-1,4.015076160E0,9.026140213E0,9.880867009E0
2.988932690E-1,1.915361285E-1,4.010287762E0,9.028534889E0,9.880968387E0
3.018495380E-1,1.939303428E-1,4.007893562E0,9.016563416E0,9.869105107E0
3.032701150E-1,1.987187415E-1,4.005499363E0,8.992621422E0,9.846357414E0
3.058661150E-1,1.819593310E-1,4.022258759E0,9.016563416E0,9.874719770E0
3.069812300E-1,1.867477298E-1,4.015076160E0,9.014169693E0,9.869699415E0
3.100111920E-1,1.819593310E-1,4.029441357E0,9.018958092E0,9.879833597E0
3.110786150E-1,1.867477298E-1,4.022258759E0,9.002198219E0,9.861694226E0
3.140511530E-1,1.963245422E-1,4.024652958E0,8.980650902E0,9.843193861E0
3.151922690E-1,2.011129409E-1,4.022258759E0,8.966285706E0,9.829206036E0
3.182088460E-1,2.011129409E-1,4.017470360E0,8.956708908E0,9.818510527E0
3.192780760E-1,1.987187415E-1,4.034229755E0,8.951920509E0,9.820966330E0
3.222581920E-1,2.274491638E-1,4.012681961E0,8.942343712E0,9.804022680E0
3.237445380E-1,2.442085743E-1,4.012681961E0,8.937555313E0,9.800058639E0
3.261007690E-1,2.513911724E-1,4.010287762E0,8.944737434E0,9.805811197E0
3.273878070E-1,2.585737705E-1,4.015076160E0,8.932766914E0,9.797041478E0
3.300722690E-1,2.489969730E-1,4.019864559E0,8.913613319E0,9.781299146E0
3.314890760E-1,2.585737705E-1,4.015076160E0,8.908824921E0,9.775216542E0
3.344108840E-1,2.585737705E-1,4.019864559E0,8.896853447E0,9.766277322E0
3.355972690E-1,2.777273953E-1,4.031835556E0,8.894459724E0,9.769557014E0
3.385502300E-1,2.801215947E-1,4.022258759E0,8.875306129E0,9.748235354E0
3.396849220E-1,2.896983922E-1,4.029441357E0,8.858546257E0,9.736229485E0
3.426244220E-1,2.825157940E-1,4.019864559E0,8.846575737E0,9.721163949E0
3.440698840E-1,2.873041928E-1,4.017470360E0,8.841787338E0,9.715956727E0
3.466363840E-1,3.016694188E-1,4.027047157E0,8.829815865E0,9.709467619E0
3.477741920E-1,3.184288144E-1,4.024652958E0,8.841787338E0,9.719898748E0
3.508274610E-1,3.064578176E-1,4.036623955E0,8.844181061E0,9.726653483E0
3.518838450E-1,3.088520169E-1,4.036623955E0,8.860940933E0,9.741970886E0
3.548340380E-1,3.064578176E-1,4.034229755E0,8.865729332E0,9.745259499E0
3.559646530E-1,3.112462163E-1,4.041412354E0,8.863334656E0,9.746208968E0
3.590016530E-1,3.112462163E-1,4.046200752E0,8.870517731E0,9.754727036E0
3.600680380E-1,2.992752194E-1,4.029441357E0,8.875306129E0,9.751770208E0
3.630029220E-1,3.160346150E-1,4.017470360E0,8.884882927E0,9.756079673E0
3.644943070E-1,3.351882398E-1,4.022258759E0,8.887276649E0,9.760871012E0
3.667866150E-1,3.351882398E-1,4.024652958E0,8.892065048E0,9.766217457E0
3.682347300E-1,3.303998411E-1,4.012681961E0,8.899248123E0,9.767671050E0
3.710818450E-1,3.471592367E-1,4.015076160E0,8.892065048E0,9.762693119E0
3.722647300E-1,3.471592367E-1,4.005499363E0,8.896853447E0,9.763121731E0
3.751076920E-1,3.208230138E-1,4.007893562E0,8.901641846E0,9.767567034E0
3.763537300E-1,3.112462163E-1,4.022258759E0,8.899248123E0,9.770980344E0
3.794111150E-1,3.160346150E-1,4.029441357E0,8.913613319E0,9.787174155E0
3.804696920E-1,3.040636182E-1,4.036623955E0,8.906430244E0,9.783214571E0
3.834105760E-1,3.112462163E-1,4.015076160E0,8.896853447E0,9.765844154E0
3.848318840E-1,3.088520169E-1,4.019864559E0,8.904036522E0,9.774280896E0
3.875704610E-1,3.040636182E-1,4.024652958E0,8.911218643E0,9.782642988E0
3.885470380E-1,3.016694188E-1,4.022258759E0,8.930372238E0,9.799036599E0
3.915805380E-1,3.088520169E-1,4.000710964E0,8.930372238E0,9.790435440E0
3.926623840E-1,2.920926213E-1,4.003105164E0,8.927978516E0,9.788716434E0
3.956275380E-1,2.968810201E-1,3.995922565E0,8.930372238E0,9.788109307E0
3.967639610E-1,3.064578176E-1,3.976768970E0,8.935160637E0,9.784973349E0
