t [s],Red [bit],IR [bit]
0,50757,55256
0.008,50756,55254
0.016,50755,55252
0.024,50754,55251
0.032,50753,55251
0.04,50755,55253
0.048,50757,55256
0.056,50761,55262
0.064,50763,55268
0.072,50764,55277
0.08,50763,55287
0.088,50760,55298
0.096,50758,55310
0.104,50760,55323
0.112,50766,55337
0.12,50777,55352
0.128,50790,55367
0.136,50804,55382
0.144,50815,55398
0.152,50823,55413
0.16,50829,55429
0.168,50834,55445
0.176,50840,55460
0.184,50847,55475
0.192,50855,55489
0.2,50864,55503
0.208,50870,55517
0.216,50874,55532
0.224,50874,55547
0.232,50871,55562
0.24,50869,55578
0.248,50870,55592
0.256,50876,55605
0.264,50886,55617
0.272,50898,55627
0.28,50911,55638
0.288,50921,55649
0.296,50928,55661
0.304,50933,55673
0.312,50937,55686
0.32,50942,55699
0.328,50947,55712
0.336,50952,55723
0.344,50958,55733
0.352,50964,55743
0.36,50970,55755
0.368,50973,55769
0.376,50976,55787
0.384,50977,55806
0.392,50979,55826
0.4,50982,55842
0.408,50987,55854
0.416,50995,55862
0.424,51003,55869
0.432,51011,55875
0.44,51018,55883
0.448,51024,55894
0.456,51029,55907
0.464,51034,55922
0.472,51039,55936
0.48,51045,55949
0.488,51050,55961
0.496,51056,55972
0.504,51061,55982
0.512,51066,55994
0.52,51071,56008
0.528,51076,56025
0.536,51082,56044
0.544,51087,56062
0.552,51091,56075
0.56,51094,56077
0.568,51092,56065
0.576,51085,56036
0.584,51070,55991
0.592,51049,55930
0.6,51021,55856
0.608,50988,55772
0.616,50951,55684
0.624,50913,55596
0.632,50877,55512
0.64,50843,55436
0.648,50813,55372
0.656,50789,55318
0.664,50769,55275
0.672,50754,55241
0.68,50744,55214
0.688,50736,55194
0.696,50731,55180
0.704,50727,55172
0.712,50724,55168
0.72,50723,55167
0.728,50721,55166
0.736,50720,55164
0.744,50718,55161
0.752,50716,55156
0.76,50714,55150
0.768,50713,55146
0.776,50712,55144
0.784,50712,55146
0.792,50713,55151
0.8,50715,55159
0.808,50719,55169
0.816,50724,55179
0.824,50729,55187
0.832,50736,55195
0.84,50742,55202
0.848,50748,55211
0.856,50753,55220
0.864,50756,55231
0.872,50758,55241
0.88,50759,55249
0.888,50759,55253
0.896,50758,55254
0.904,50757,55252
0.912,50757,55249
0.92,50757,55246
0.928,50757,55246
0.936,50757,55247
0.944,50757,55251
0.952,50757,55257
0.96,50758,55263
0.968,50761,55268
0.976,50766,55272
0.984,50774,55276
0.992,50784,55281
1,50794,55290
1.008,50802,55303
1.016,50808,55320
1.024,50811,55340
1.032,50812,55359
1.04,50814,55377
1.048,50817,55393
1.056,50822,55408
1.064,50829,55421
1.072,50836,55434
1.08,50842,55448
1.088,50848,55462
1.096,50853,55476
1.104,50857,55489
1.112,50862,55503
1.12,50869,55515
1.128,50876,55527
1.136,50884,55538
1.144,50893,55549
1.152,50900,55560
1.16,50905,55572
1.168,50909,55584
1.176,50911,55597
1.184,50913,55610
1.192,50916,55622
1.2,50920,55634
1.208,50924,55644
1.216,50930,55655
1.224,50935,55665
1.232,50940,55675
1.24,50943,55686
1.248,50946,55698
1.256,50949,55709
1.264,50953,55719
1.272,50961,55729
1.28,50971,55738
1.288,50984,55747
1.296,50996,55758
1.304,51005,55771
1.312,51010,55785
1.32,51010,55800
1.328,51008,55816
1.336,51007,55831
1.344,51008,55845
1.352,51012,55858
1.36,51018,55871
1.368,51024,55884
1.376,51030,55897
1.384,51036,55910
1.392,51041,55922
1.4,51045,55933
1.408,51050,55944
1.416,51054,55955
1.424,51058,55967
1.432,51062,55979
1.44,51066,55990
1.448,51069,55999
1.456,51071,56002
1.464,51069,55994
1.472,51063,55974
1.48,51052,55937
1.488,51033,55885
1.496,51008,55817
1.504,50976,55739
1.512,50941,55654
1.52,50905,55567
1.528,50869,55485
1.536,50836,55410
1.544,50807,55345
1.552,50783,55292
1.56,50763,55251
1.568,50749,55219
1.576,50738,55197
1.584,50731,55182
1.592,50726,55172
1.6,50723,55165
1.608,50722,55162
1.616,50721,55160
1.624,50720,55158
1.632,50720,55157
1.64,50720,55157
1.648,50720,55156
1.656,50720,55156
1.664,50719,55156
1.672,50720,55159
1.68,50721,55164
1.688,50725,55170
1.696,50730,55179
1.704,50737,55190
1.712,50743,55203
1.72,50746,55217
1.728,50746,55233
1.736,50744,55248
1.744,50741,55262
1.752,50740,55272
1.76,50744,55278
1.768,50750,55279
1.776,50758,55277
1.784,50765,55272
1.792,50769,55268
1.8,50770,55264
1.808,50768,55261
1.816,50766,55260
1.824,50765,55260
1.832,50765,55261
1.84,50766,55262
1.848,50769,55264
1.856,50772,55268
1.864,50775,55275
1.872,50778,55286
1.88,50780,55302
1.888,50782,55321
1.896,50784,55340
1.904,50788,55356
1.912,50793,55368
1.92,50800,55376
1.928,50808,55381
1.936,50816,55386
1.944,50824,55394
1.952,50830,55405
1.96,50836,55418
1.968,50841,55432
1.976,50846,55446
1.984,50851,55459
1.992,50856,55470
2,50861,55480
2.008,50866,55491
2.016,50871,55502
2.024,50876,55516
2.032,50881,55531
2.04,50886,55549
2.048,50891,55566
2.056,50896,55580
2.064,50900,55591
2.072,50905,55599
2.08,50910,55605
2.088,50915,55611
2.096,50920,55619
2.104,50925,55629
2.112,50929,55640
2.12,50934,55651
2.128,50938,55662
2.136,50942,55672
2.144,50947,55682
2.152,50951,55692
2.16,50955,55702
2.168,50960,55714
2.176,50964,55727
2.184,50969,55740
2.192,50974,55753
2.2,50978,55765
2.208,50982,55775
